"mutabık-ı mukteza-yı hâl","hâlin gereğine uygun"
"müstehak","hak etmiş, layık"
"mütefekkirâne","tefekkür ederek, Allah’ı düşünürek"
"nefs-i emmâre","hazır zevke düşkün ve insanı kötülüğe sevk eden duygu"
"netice-i hilkat","yaratılışın sonucu"
"sürur","mutluluk, sevinç"
"tahkir etmek","aşağılamak"
"târiküssalât","namaz kılmayı terk eden kimse"
"tarz-ı ifade","ifade etme tarzı"
"tecavüz etmek","haddi aşmak, saldırmak"
"telâkki etmek","kabul etmek"
"terk-i ibadet","Allah’a kulluk etmeyi bırakma"
"tesbih eden","Allah’ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anan"
"tesbihat","Allah’ı her türlü kusurdan yüce tutarak şanına layık ifadelerle anma"
"tevehhüm etmek","zannetmek"
"âyet","Kur’ân’da yer alan her bir cümle"
"azamet","büyüklük"
"azîm","büyük, yüce"
"beyan etme","açıklama, anlatım"
"burhan","güçlü ve sarsılmaz delil"
"cihet","yön"
"hadsiz","sınırsız"
"hakikat","gerçek, esas"
"hakikat-i azîme","büyük gerçek"
"hikmet","sebep, ince sır"
"hilkat","yaratılış"
"hususan","özellikle"
"icad","var etme, yaratma"
"icad-ı eşya","eşyaya vücut vermek"
"isnad edilmek","dayandırılmak"
"kâinat","evren"
"kat’î","kesin"
"kudret-i Rabbâniye","her şeyi terbiye ve idare eden Allah’ın sonsuz gücü"
"mahlûk","varlık"
"makbul","kabul edilen"
"mâkul","akla uygun"
"mebzuliyet","çokluk, bolluk"
"meşiet-i İlâhiye","Allah’ın dilemesi"
"mevcudat","varlıklar"
"mevcut","varlık"
"mukni","ikna edici"
"müşkülleşmek","zorlaşmak"
"nass-ı Kur’ân","Kur’ân’ın kesin ve açık hükmü"
"nihayet","son"
"sabık","geçen, önceki"
"Sâni-i Hakikî","her şeyin gerçek anlamda san’atkârı ve yaratıcısı olan Allah"
"Sâni-i Vâhid","bir ve tek olan ve herşeyi san’atla yaratan Allah"
"sarahaten","açıkça"
"suhulet peydâ etmek","kolaylaşmak, kolaylık meydana gelmek"
"sûhûlet","kolaylık"
"suubetli","zor"
"şe’n","temel özellik"
"tâbi olmak","bağlı olmak"
"tabiat","materyalist düşünce; tabiat için, “insan faaliyetlerinin dışında kendi kendini sürekli olarak yeniden yaratan ve değiştiren güç” düşüncesi"
"tahakkuk eden","gerçekleşen"
"vahdet","Allah’ın birliğinin bütün varlıklarda görülmesi"
"Vâhid-i Ehad","bir olan ve birliği her bir şeyde görülen Allah"
"vâzıh","açık, aşikâr"
"vuzuh","açıklık"
"zeyl","ek, ilave"
"ziyade","çok, fazla"
"beyan etmek","açıklamak"
"bilmüşahede","görüldüğü gibi"
"cihet","yön"
"enmûzec","örnek"
"fihriste","içindekiler"
"hadsiz","sınırsız, sayısız"
"hakikat","gerçek, esas"
"halk etmek","yaratmak"
"hikmet","sebep, gaye, hedef"
"kader-i İlâhî","Allah’ın meydana gelecek hadiseleri olmadan önce bilip takdir etmesi, plânlaması"
"Kadîr-i Ezelî","herşeye gücü yeten, varlığının başlangıcı olmayıp zamanla sınırlı olmayan Allah"
"kemiyeten","sayısal olarak"
"kesret","çokluk"
"kesret-i efrad","fertlerin çokluğu"
"kesret-i sûhûlet","herşeyde kolaylığın bulunması"
"kıymetli","değerli"
"kudret","güç, kuvvet, iktidar"
"kudret-i Rabbâniye","her şeyi terbiye ve idare eden Allah’ın sonsuz kudreti"
"mebzuliyet","çokluk, bolluk"
"medar olan","dayanak noktası olan, kaynak olan"
"mevâdd-ı hayatiye","hayat için gerekli maddeler"
"mevcudat","varlıklar"
"mevcut","varlık"
"muhtasar","kısa, özet"
"muntazam","düzenli"
"mühim","önemli"
"müşkilât peydâ etmek","zorluk kazanmak, zorlaşmak"
"müşkilâtlı","zor"
"müteaddit","çok sayıda"
"nefer","asker, er"
"nev’","tür, çeşit"
"nihayet","son"
"nokta-i nazar","bakış açısı"
"risale","Risale-i Nur’u oluşturan bölümlerden her birisi"
"sair","diğer, başka"
"sırr-ı vahdet","birlik sırrı"
"sûhûletli","kolay"
"suubetli","zor"
"sür’atle","hızla"
"şirk","Allah ortak koşma"
"tafsilen","ayrıntılı olarak"
"teçhizat","cihazlar, donanımlar"
"teçhizat-ı askeriye","askeri donanım"
"vahdet","birlik; Allah’ın birliğinin bütün varlıklarda görülmesi"
"vücuda gelmek","var olmak"
"zâbit","subay"
"ziyade","çok, fazla"
"aktâr-ı âlem","âlemin dört bir yanı"
"anâsır","unsurlar, elementler"
"âyet","Kur’ân’da yer alan her bir cümle"
"cisim","beden"
"dalâlet","hak yoldan sapkınlık, inançsızlık, inkâr"
"ehl-i akıl","akıl sahipleri"
"esbab-ı maddiye","maddî sebepler"
"ezelî","başlangıcı olmayan sonsuz"
"feylesof","filozof, felsefeci"
"fihriste",", içindekiler"
"hadsiz","sınırsız"
"hakikatli","gerçeğe dayalı"
"haricî","dıştan görülen"
"hülâsa","öz, özet"
"icad etmek","yaratmak, var etmek"
"idam edilme","yok edilme"
"isnad etmek","dayandırmak"
"istimal edilmek","kullanılmak"
"kader","Allah’ın meydana gelecek hadiseleri olmadan önce bilmesi, takdir etmesi, planlaması"
"kaderî","kaderde olan, Allah tarafından belirlenen"
"Kadîr-i Zülcelâl","sonsuz haşmet ve yücelik sahibi ve herşeye gücü yeten Allah"
"kâinat","evren"
"kudret","güç, iktidar"
"mecbur olmak","zorunlu olmak"
"miktar-ı ilmî","İlâhî ilim ile belirlenen ölçü"
"miktar-ı kaderî","Allah tarafından kader çerçevesinde takdir edilmiş, belirlenmiş ölçü"
"muhâlât","imkânsız olan şeyler"
"muhit","herşeyi içine alan, kuşatan"
"muntazam","düzenli"
"musaddak","tasdik edilmiş, doğrulanmış"
"mühtedî","hidâyete eren, iman eden"
"müşkilât","zorluklar"
"nev’","tür, çeşit"
"nihayetsiz","sınırsız"
"sabıkan","bundan önce"
"sûhûlet","kolaylık"
"şirk","Allah’a ortak koşma"
"tabiat","canlı, cansız varlıklar, doğa"
"tahlil","dağılma, ayrışma"
"tayin etmek","belirlemek"
"terkip etmek","düzenlemek, bir araya getirmek"
"terkip","düzenleme, bir araya getirme"
"tevhid","birleme, Allah’ı bir olarak bilme ve ilân etme"
"vahdet","Allah’ın birliğinin bütün varlıklarda görülmesi"
"vücud","beden, varlık"
"zîhayat","canlı"
"ahmakane","ahmakça"
"arz","yeryüzü"
"bilmecburiye","zorunlu olarak"
"cahilâne","cahilce, bilgisizce"
"cehl-i mutlak","sonsuz bir cahillik"
"dalâlet","hak yoldan ayrılma, inkârcılık"
"echel","çok cahil"
"ecza","kimyasal bir madde"
"envâ","türler, çeşitler"
"esbab","sebepler"
"feylesof","filozof, felsefeci"
"güruh","grup, topluluk"
"hadsiz","sayısız, sınırsız"
"halk etmek","yaratmak"
"harekât-ı zerrat","zerrelerin, atomların hareketleri"
"hassa","temel özellik"
"hikmetli","belli bir amaç ve hedefe yönelik olma"
"icad","var etme, yaratma"
"idam","yokluk, hiçlik"
"iktidar","güç, kuvvet"
"iktiza etmek","gerektirmek"
"ilm-i ezelî","Cenâb-ı Hakkın ezelden beri var olan sonsuz ilmi"
"imtinâ","imkânsızlık"
"inşa etmek","yaratmak, yapmak, meydana getirmek"
"Kadîr-i Ezelîye","herşeye gücü yeten, varlığının başlangıcı olmayıp zamanla sınırlı olmayan Allah"
"kudret-i ezeliye","Allah’ın ezelden beri var olan sonsuz kudreti"
"mâdûmât-ı hariciye","maddeten yok olan ancak ilim plânında var olan şeyler"
"maskara","gülünç, rezil"
"mevcudat","varlıklar"
"mevcudat-ı ilmiye","başkası tarafından görünmeyen, Allah’ın ilim dairesindeki varlıklar"
"misilli","benzeri"
"mûcid","yoktan var eden, yaratan"
"muhal","imkansızlık"
"müşkilât","zorluklar"
"Nur-u Kur’ân","Kur’ân’ın nuru"
"sabıkan","bundan önce"
"semâvât","gökler"
"Sofestâî","Yaratıcıyı kabul etmemek için her şeyi, hattâ kendini dahi inkâr edenler"
"suret","biçim, şekil"
"süflî","alçak, âdi"
"taayyün etmek","belirlenmek"
"tabiat","canlı cansız varlıklar, doğa, maddî âlem"
"tahayyül etmek","hayal etmek"
"tahlil","çözümleme, dağılma, ayrışma"
"tavr-ı akıl","aklın anlayabileceği kapasite"
"terkip","düzenlenme, bir araya getirme"
"teşekkülât","oluşumlar"
"vaziyet-i itibariye","göreceli bir durum"
"vücud-u haricî","maddî vücut, beden"
"vücut","varlık"
"zemin","yer"
"zîhayat","canlı"
"ziyade","çok, fazla"
"âciz-i mutlak","son derece güçsüz"
"ahmaklık","akılsızlık"
"ahval","durumlar"
"anâsır","unsurlar, elementler"
"bâtıl","gerçek olmayan, yalan"
"bedbaht","talihsiz, bahtsız"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"cihet","yön"
"cilve","görüntü, yansıma"
"cüz-ü ihtiyarî","insanda bulunan sınırlı irade"
"daimî","devamlı, sürekli"
"dakik","ince, derin"
"dalâlet","hak yoldan sapkınlık, inkârcılık"
"düstur","kanun"
"envâ-ı zîhayat","canlı türleri"
"esbab","sebepler"
"esmâ","isimler"
"evham","kuruntular, şüpheler"
"firavunlaşmış","firavun gibi kendisini üstün gören, tanrılık iddiasında bulunan"
"hakikat","gerçek, esas"
"hamd","övgü ve şükür"
"hikmet","sebep, gaye"
"ibdâ’","var etme"
"icad etmek","var etmek, yaratmak"
"ihtirâ’","bir şeyin hiçten, yaratılması"
"inşa","var olan şeylerle farklı varlıklar yaratma"
"Kadîr-i Mutlak","herşeye gücü yeten, sınırsız güç ve kuvvet sahibi Allah"
"Kadîr-i Zülcelâl","sonsuz haşmet ve yücelik sahibi ve herşeye gücü yeten Allah"
"kemâl-i hikmet","Allah’ın istediği şeyi dilediği şekilde eksiksiz olarak yapması"
"kemâl-i iman","tam ve mükemmel bir iman"
"keyfiyat","özellikler, nitelikler"
"kudret","Allah’ın bütün âlemleri kuşatan güç ve iktidarı"
"mahlûkat","varlıklar"
"mevcudat","varlıklar"
"nefis","insanı daima kötülüğe, yasak zevk ve isteklere teşvik eden duygu"
"rezzâkiyet","rızık vericilik"
"senâ","övgü"
"sıfat","özellik, vasıf"
"sûhûletli","kolay"
"şükür","Allah’a karşı minnet duyma, teşekkür etme"
"teşmil etmek","kapsamı içine aldırmak"
"vücut vermek","yok olan bir şeyi var etmek, yaratmak"
"zerrat","zerreler, atomlar"
"asır","yüzyıl"
"âyet","Kur’ân’da yer alan her bir cümle"
"beyan etmek","açıklamak, anlatmak"
"binaen","dayanarak"
"delâlet etmek","delil olmak, işaret etmek"
"düstûr-u İlâhî","İlâhi kural, kanun"
"ecdad","atalar, dedeler"
"ehemmiyet","önem"
"esaret","esirlik, tutsaklık"
"fıtrat","yaratılış, mizaç"
"fıtrî","doğal, yaratılıştan gelen"
"gayr-ı fıtrî","yaratılışa uygun olmayan"
"hakikatli","gerçek"
"hayat-ı içtimaiye","sosyal hayat"
"hikmet","fayda, gaye"
"hilkaten","yaratılış gereği"
"hüküm","kural"
"iktidâen","uyarak"
"iktiza etmek","gerektirmek"
"ilâ âhir","sonuna kadar"
"istinaden","dayanarak"
"itikad","inanç"
"ittifak","birleşme, fikir birliği"
"kudsî","kutsal"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"Lâyiha-i Temyiz","mahkemelerce verilen bir kararın kanun ve usul yönünden incelenmesi için verilen dilekçe"
"lem’a","parıltı"
"mahkûm etmek","bir kişiyi cezalandırmak için hüküm vermek"
"medeniyet-i sefihe","insanları zevk ve eğlenceye yönelten medeniyet; Batı medeniyeti"
"muhalif","karşıt, zıt"
"müdafaat","savunmalar"
"nakzetmek","bozmak"
"nazik","ince, zarif"
"nota","bildiri"
"rûy-i zemin","yeryüzü"
"tasdik","kabul etme, onaylama"
"tefsir","yorumlama; Kur’ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap"
"tesettür","örtünme"
"zarfında","içinde"
"ziyade","çok, fazla"
"belâ","büyük sıkıntı"
"cibilliyet","yaratılıştan gelen huy, karakter"
"cidden","gerçekten"
"dikkat-i nazar","dikkatle bakmak"
"ecnebî","yabancı"
"esaret","esirlik, tutsaklık"
"fıtrat","yaratılış, mizaç"
"fıtraten","yaratılış açısından"
"fıtrî","doğal, yaratılıştan gelen"
"gayr-ı meşru","helâl olmayan, dine aykırı"
"hâmisiz","koruyucusuz"
"hıyanet","ihanet, hainlik"
"hilâf-ı fıtrat","yaratılışa ters"
"hilkat","yaratılış"
"himaye","koruma"
"ihtar etmek","uyarmak"
"iktiza etmek","gerektirmek"
"istiskal","hoşlanmama, yüz vermeme, küçümseme"
"ittiham","suçlama"
"kesretle","çoklukla"
"kıymettar","değerli"
"maddeten","maddî olarak"
"maden-i şefkat","şefkat kaynağı"
"malûm","bilinen"
"mâruz","bir şeyin karşısında ve tesiri altında kalma"
"meyil","eğilim, istek"
"müteessir olmak","üzülmek, etkilenmek"
"müttehem","suçlanan"
"nâmahrem","nikahlanmanın haram olmadığı kişi, yabancı"
"nazar","bakış"
"nazik","ince, zarif"
"nisbeten","kıyasla"
"ref-i tesettür","tesettürün kaldırılması"
"refika-i ebediye","sonsuz hayatta hayat arkadaşı olacak kadın"
"sefalet","perişanlık, yoksulluk"
"semlendiren","zehirleyen, kirleten"
"serîütteessür","çabuk üzülen, çabuk ve kolay etkilenen"
"sukut","alçalma, düşüş"
"şekvâ etmek","şikâyet etmek"
"taarruz","saldırı"
"tahavvüf","korkuya düşme, korkma"
"tecavüz","saldırı, sataşma"
"tecrübe etmek","denemek"
"tefahhuş","fuhşa girme, ahlâksızlık"
"tefessüh etmek","bozulmak"
"tesettür","örtünme"
"vâki olmak","meydana gelmek"
"veled","evlat, çocuk"
"zillet","hor ve hakir duruma düşme"
"ziyade","çok, fazla"
"âdi","basit, sıradan"
"ahali","halk"
"alâkadar","alakalı, ilgili"
"aleyhinde","karşısında"
"bahtiyar","talihli, mutlu"
"bilfiil","fiilen, uygulamaya koyarak"
"binaen","dayanarak"
"celb etmek","çekmek"
"ciddî","gerçek"
"diyanet","dindarlık"
"dünyevî","dünya ile ilgili"
"ebedî","sonsuz"
"esaslı","köklü"
"gayr","hariç, başka"
"hasretmek","yalnız birşeye mahsus kılma, yalnız birşeye kullanma"
"hayâsız","utanmaz"
"hayat-ı dünyeviye","dünya hayatı"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"hayvânî","hayvansal, cismanî özellik"
"hikmet","fayda, gaye"
"hürmet","saygı"
"küfüv olmak","denk, uygun olmak"
"mahsus","has, özel"
"mehâsin","güzellikler"
"mesmûât","işitilenler, duyulanlar"
"muhabbet","sevgi"
"mukabil","karşılık"
"mukteza-yı insaniyet","insanlığın gereği"
"muvakkat","gelip geçici"
"mü’min","Allah’a inanan"
"mühim","önemli"
"münasebet","bağlantı, ilişki"
"münasip olmak","uygun olmak"
"münhasır","ait, sınırlı"
"mütedeyyin","dinin emirlerini eksiksiz yerine getiren, dindar"
"nazar","bakış"
"payitaht-ı hükûmet","başkent"
"refika","eş, hanım"
"refika-i hayat","hayat arkadaşı, eş"
"rütbeten","rütbece"
"saliha","dinin emir ve yasaklarına uygun hareket eden, Allah’ın sevgili kulu olan kadın"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"sırr-ı iman","iman sırrı"
"şamar","tokat"
"şer’an","şeriat hükmünce, dine göre"
"tahsis","özel olarak belirleme"
"takvâ","Allah’ın emirlerini tutup, günahlardan sakınmak"
"tesettür","örtünme"
"veyl","yazık"
"alâmet-i farika","ayırt edici işaret"
"caiz olmayan","dinen izin verilmeyen"
"emniyet","güven, korkusuzluk"
"emniyet-i mütekabile","karşılıklı güven"
"fısk","günah"
"fıtraten","yaratılış itibariyle"
"gayr","diğer, başkası, yabancı"
"hayvânî","hayvansal"
"hemşire","kız kardeş"
"hikmet","sebep, ince sır"
"hükûmet","idare, yönetim"
"hürmet","saygı"
"hürmet-i mütekabile","karşılıklı saygı göstermek"
"ihsas etmek","hissettirmek"
"karâbet","yakınlık"
"kesret-i nesil","neslin çokluğu"
"mâbeyn","ara, iki şeyin arası"
"mahrem","nikâh düşmeyen, evlenilmesi haram olan"
"mahremiyet","mahremlik, nikâh düşmeme özelliği"
"matlup","istenen, talep edilen"
"misilli","benzeri, gibi"
"muhabbet-i meşrua","dine uygun, helâl sevgi"
"müsavi","eşit, denk"
"mütekabil","karşılıklı"
"müttakî","takva sahibi, Allah’tan korkup emir ve yasaklarını titizlikle uyan"
"nâmahrem","nikahlanmanın haram olmadığı kişi, yabancı"
"nazar","bakış"
"nazar-ı heves","arzulu bakış"
"nefis","insanı kötülüğe, yasak zevk ve isteklere teşvik eden duygu"
"nefsî","nefisle ilgili"
"saadet-i hayatiye","hayat mutluluğu"
"sefahet","zevk ve eğlenceye düşkünlük"
"sima","yüz"
"sukut-u insaniyet","insanlığın alçalışı"
"süflî","alçak, âdi"
"şefkat","içten ve karşılık beklemeden duyulan merhamet, sevgi"
"şehvânî","şehvetle ilgili, nefsânî arzularla ilgili"
"şer’an","şeriat hükmünce, şeriata göre"
"temâyülât","eğilimler"
"tesettürsüzlük","açık saçıklık"
"ahlâk-ı seyyie","kötü ahlâk"
"âlem-i İslâm kıtası","İslâm dünyasının üzerinde bulunduğu bölge"
"Aleyhissalâtü Vesselâm","Allah’ın salât ve selâmı onun üzerine olsun"
"asrî","çağdaş, modern"
"Asya",""
"Avrupa",""
"azab","sıkıntı"
"bârid","soğuk"
"câmid","cansız, donuk"
"düello","iki kişi arasında, tanıklar önünde yapılan silâhlı vuruşma"
"emniyet","güven, korkusuzluk"
"esaslı","köklü"
"ev kemâ kâl","veya söylediği gibi"
"evlâd","çocuklar"
"ferman etmek","buyurmak"
"fuhş","çok çirkin, aşağılık, helâl olmayan iş"
"haslet","huy, özellik"
"haysiyet","özellik"
"hazinedarlık","hazine bekçiliği"
"hevesât-ı hayvâniye","hayvansal hisler, arzular"
"himâyet","koruma altına alma"
"hürmet","saygı"
"iftihar etmek","övünmek"
"inhisar","sınırlandırma, kontrol"
"izdivac","evlenme"
"izdivaç etmek","evlenmek"
"izzet-i nefis","onur, öz saygı"
"kesret","çokluk"
"kesret-i tenasül","neslin çoğalması"
"kıyamet","dünyanın yıkılıp, âhiret hayatının başlaması"
"malûm","bilinen"
"memâlik-i bâride","soğuk memleketler"
"memâlik-i harre","sıcak memleketler"
"merhamet","acıma, şefkat"
"muhafaza","koruma, saklama"
"muhit","coğrafî bölge, doğal çevre"
"müdir-i dahilî","iç işleri yöneten"
"nazarında","gözünde, düşüncesinde"
"nikâh etmek","evlenmek"
"nisbeten","kıyasla"
"ref’","ortadan kaldırma"
"refika-i hayat","hayat arkadaşı, eş"
"Resul-i Ekrem","Allah’ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"sadakat","bağlılık"
"sehâvet","cömertlik"
"sülûk etmek","yönelmek, bir yola girmek"
"tabiat","insanların genel yapısı"
"tahrik etmek","harekete geçirmek"
"teksir etmek","çoğaltmak"
"tesettür","örtünme"
"tesir","etki"
"vasıta","araç"
"bedevî","çölde yaşayan, göçebe"
"derd-i maişet","geçim derdi"
"fuhşiyat","dinen yasaklanan ve haram sayılan davranışlar"
"hassas","duyarlı"
"hayız","kadınların âdet, kanama hâli"
"hevesât-ı nefsaniye","nefsin hevesleri, arzu ve istekleri"
"ihtiyac-ı fıtrî","yaratılıştan gelen doğal ihtiyaç"
"isrâfât","israflar, lüzumsuz yere kullanmalar"
"kısmen","bir miktar"
"kıyas etmek","karşılaştırmak"
"mağlûp","yenik düşen"
"mâsûme","masum ve günahsız olan"
"medar olmak","sebep olmak, vesile olmak"
"mefâsid","ahlâkı bozan şeyler"
"memâlik-i harre","sıcak memleketler"
"meşgale","meşguliyet, çalışma"
"meyletmek","eğilim göstermek"
"mukabil","karşılık"
"münasebetiyle","vesilesiyle, sebebiyle"
"mütemadiyen","sürekli olarak"
"nazar-ı dikkat","dikkati celb eden; dikkat çeken"
"nefis","insanı daima kötülüğe, yasak zevk ve isteklere teşvik eden duygu"
"nesil","soy"
"nisbeten","kıyasla"
"seriütteessür","çabuk ve kolay etkilenen"
"sû-i istimâlât","kötüye kullanmalar"
"sukut-u kuvvet","kuvvetten düşme"
"tecennüp etmek","sakınmak, uzak durmak"
"tehyiç etmek","harekete geçirmek, heyecanlandırmak"
"tesettür","örtünme"
"zaafiyet","zayıflık, güçsüzlük"
"acz","güçsüzlük"
"âhiret","öteki dünya, öldükten sonraki ebedî hayat"
"alâkadar","ilgili, bağlantılı"
"beyan etmek","açıklamak"
"cihet","yön, şekil"
"ehemmiyet","değer, önem"
"ehl-i iman","Allah’a Ondan gelen herşeye inananlar, mü’minler"
"esas","temel"
"evlât","çocuklar"
"evvel","önce"
"fıtraten","yaratılış itibariyle"
"fıtrî","doğal, yaratılıştan gelen"
"Gençlik Rehberi","Risale-i Nur içinde bulunan, gençlere ait meselelerden oluşan bir kitapçık"
"had","sınır, yetki"
"hakikî","asıl, gerçek"
"hararetli","çok istekli"
"hemşire","kız kardeş"
"Isparta",""
"ihlâs","içtenlik, samimiyet; ibadet ve davranışlarda sadece Allah’ın rızasını gözetme"
"ihtar","hatırlatma, uyarı"
"iktidarsız","güçsüz, kuvvetsiz"
"istifade etmek","faydalanmak"
"itimad","güven"
"lillâhilhamd","Allah’a hamd olsun"
"Medresetü’z-Zehrâ",""
"muhavere","karşılıklı konuşma"
"muhtasar","kısa, özet"
"mukabele","karşılık vermek"
"mübarek","bereketli, hayırlı"
"mühim","önemli"
"nükte","ince anlamlı söz"
"suret","biçim, şekil"
"şefkat","içten ve karşılık beklemeden duyulan merhamet, sevgi"
"taife","grup, topluluk"
"taife-i nisâ/nisâ taifesi","kadınlar topluluğu"
"valide","anne"
"vecih","yön"
"veled","çocuk"
"vilâyet","il"
"zaaf","zayıflık, güçsüzlük"
"ziyade","çok, fazla"
"âhiret","öldükten sonra yaşanacak olan sonsuz hayat"
"beyan etmek","açıklamak"
"biçare","çaresiz, zavallı"
"cereyan","akım"
"dalâlet","hak yoldan sapkınlık, inkârcılık"
"defter-i a’mâl","amel defteri"
"ebedî","sonsuz"
"esaslı","köklü"
"evlât","çocuk"
"fena","kötü, çirkin"
"fıtrî şefkat","doğal, yaratılıştan gelen şefkat, merhamet"
"hafız mektebi","Kur’ân-ı Kerimi ezberlemek için gidilen okul"
"haps-i ebedî","sonsuz bir hapis"
"hasenât","iyilikler, sevaplar"
"hayat-ı dünyeviye","dünya hayatı"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"helâket","mahvolma"
"idam-ı ebedî","dirilmemek üzere sonsuz yok oluş"
"ihlâs","içtenlik, samimiyet; ibadet ve davranışlarda sadece Allah’ın rızasını gözetme"
"inkişaf","açığa çıkma"
"istifade","faydalanma"
"itibarıyla","özelliğiyle, bakımından"
"kasem etmek","yemin etmek"
"kat’î","kesin"
"kıymettar","değerli"
"mâsum","günahsız"
"merhum","Allah’ın rahmetine kavuşmuş, vefat etmiş"
"misli","benzeri"
"muallim","öğretmen"
"mukabele etmek","karşılık vermek"
"mübarek","hayırlı"
"münasebet","ilişki, bağlantı"
"nazara almak","göze almak"
"nümune","örnek"
"ruh-u canıyla","ruhu ve canıyla"
"sebebiyet vermek","sebep olmak"
"seciye","karakter, üstün özellik"
"sû-i istimal","kötüye kullanma"
"şefaatçi","af için aracılık eden"
"şefkat","içten ve karşılık beklemeden duyulan merhamet, sevgi"
"şekvâ etmek","şikâyet etmek"
"takviye","kuvvetlendirme, güçlendirme"
"terbiye etmek","yetiştirmek, büyütmek"
"terbiye-i İslâmiye","İslâm terbiyesi"
"tesirli","etkili"
"üstad","öğretmen, hoca"
"valide","anne"
"vazife-i fıtriye","yaratılıştan gelen görev"
"veled","çocuk"
"a’mâl-i uhreviye","âhirete yönelik àmeller, işler"
"acz","güçsüzlük"
"âhiret","öldükten sonra yaşanacak olan sonsuz hayat"
"biçare","çaresiz, zavallı"
"bina etmek","kurmak"
"cihet","yön, şekil"
"çekirdek-i esasiye","temel çekirdek"
"daire-i İslâmiye","İslâm dairesi"
"esas","temel"
"ezcümle","meselâ, örneğin"
"faide-i şahsiye","kişisel fayda"
"fâni","gelip geçici, ölümlü"
"fıtrat","yaratılış, mizaç"
"hakikat","asıl, esas"
"hakikî","asıl, gerçek"
"hayat-ı içtimaiye","sosyal hayat"
"hemşire","kız kardeş"
"ihlâs","içtenlik, samimiyet; ibadet ve davranışlarda sadece Allah’ın rızasını gözetme"
"inkişaf","açığa çıkma, gelişme"
"inzivâ","yalnız başına bir yere çekilip dünya işleriyle uğraşmamak"
"kıymetli","değerli"
"maattessüf","ne yazık ki"
"medar olmak","sebep olmak, vesile olmak"
"merhamet","acıma, şefkat etme"
"merhum","Allah’ın rahmetine kavuşmuş, vefat etmiş"
"meşreb","hareket tarzı, metod"
"mukabele","karşılık verme"
"muvakkat","geçici olarak"
"mübarek","hayırlı"
"müşahede etmek","gözlemlemek"
"nevi","çeşit, tür"
"nükte","ince anlamlı söz"
"nümune","örnek"
"riyâkârlık","iki yüzlülük"
"saadet","mutluluk"
"sair","başka, diğer"
"sû-i istimal","kötüye kullanma"
"şefkat","içten ve karşılık beklemeden duyulan merhamet, sevgi"
"şer","kötülük"
"tahakküm","baskı, zorbalık"
"taife","grup, topluluk"
"taife-i nisâiye","kadınlar topluluğu"
"telkinat","telkinler, öğütler"
"terbiye-i İslâmiye","İslâm terbiyesi"
"valide","anne"
"validelik","annelik"
"yakînen","kesin olarak"
"zaafiyet","zayıflık"
"zalim","haksızlık eden"
"ailevî","aile ile ilgili"
"bahtiyar","talihli, mutlu"
"beyan etmek","açıklamak"
"biçare","çaresiz, zavallı"
"bina etmek","kurmak"
"cihet","taraf"
"cüz’","bölüm"
"çare-i yegâne","tek çare"
"daimî","devamlı, sürekli"
"daire-i İslâmiye","İslâm dairesi"
"dehşetli","korkunç, ürkütücü"
"din-i İslâm","İslâm dini"
"ebedî","sonsuz"
"ekserî","çoğunluk, pekçok"
"esas","temel"
"fâni","gelip geçici, ölümlü"
"fıtrat","yaratılış, mizaç"
"gafil","Allah’ı düşünmeyen ve sorumluluklarından habersiz"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"hayat-ı içtimaiye","sosyal hayat"
"hemşire","kız kardeş"
"hevesât","gelip geçici arzu ve istekler"
"hususan","bilhassa, özellikle"
"hüsn-ü cemâl","güzellik"
"hüsn-ü sîret","ahlâk güzelliği"
"kat’iyen","kesinlikle"
"komite","bir maksat çerçevesinde toplanmış cemiyet"
"mânevî evlât","mânevi çocuk"
"mâruz kalma","yüz yüze gelme"
"merhamet","acıma, şefkat"
"millet-i İslâm","İslâm milleti"
"mufarakat","ayrılık"
"muhabbet","sevgi"
"muvakkat","geçici olarak"
"nevi","çeşit, tür"
"nisâ taifesi","kadınlar topluluğu"
"refakat","arkadaşlık"
"refika","eş, hanım"
"refika-i ebediye","sonsuza kadar arkadaş olarak kalacak olan eş, hanım"
"refika-i hayat","hayat arkadaşı, eş"
"saadet-i dünyeviye","dünyaya ait mutluluk"
"saadet-i uhreviye","âhiret hayatındaki mutluluk"
"salih","dinin emir ve yasaklarına eksiksiz olarak uyan kişi"
"saliha","dinin emir ve yasaklarına uygun hareket eden kadın"
"seciye","karakter, üstün özellik"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"sevk etmek","yöneltmek"
"suret","biçim, şekil"
"şefkat","içten ve karşılık beklemeden duyulan merhamet, sevgi"
"şekvâ","şikayet, yakınma"
"tahassungâh","sığınma yeri, sığınak"
"taife","grup, topluluk"
