"keyfiyet","özellik, esas, nitelik"
"intizam","düzen, tertip"
"acaip","şaşırtıcı, hayret verici"
"Sâni","herşeyi sanatla yaratan Allah"
"kudret","güç, iktidar"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"sebatsız","kalıcı olmayan, geçici"
"menzil","mekan, yer"
"bekàsız","devamsız, sürekli olmayan"
"meşher","sergi yeri"
"bâhir","açık, görünen"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"intizâmât","düzenlilikler"
"zahir","açık, âşikar"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"işârât","işaretler"
"kahir","üstün"
"emârât","izler, belirtiler"
"vâsi","geniş"
"semerât","meyveler, neticeler"
"Basiretsiz","ferasetsiz, görüşü ve sezişi yetersiz"
"yakinen","kesin olarak"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"ekmel","daha mükemmel"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"âsâr","eserler"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"ecmel","daha güzel"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"kabil","mümkün, olabilir"
"emârât","izler, belirtiler"
"ecell","daha büyük"
"semerât","meyveler, neticeler"
"eşmel","daha kapsamlı, daha geniş"
"tasavvur","düşünmek, hayal etmek"
"farz-ı muhal","olmayacak birşeyi olacakmış gibi düşünme, varsayım"
"Sultan-ı Sermedî","hükümdarlığının sonu olmayan, daimî ve sürekli olan Sultan, Allah"
"daire-i memleket","memleket dairesi"
"daimî","sürekli, devamlı"
"menzil","mekan, yer"
"âli","yüksek, yüce"
"mesken","ev, mekân"
"mukim","ikamet eden, oturan"
"mes'ud","mutlu"
"ibâd","kullar"
"ziya","ışık"
"şümullü","kapsamlı"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"hakikat","gerçek mahiyet, asıl, esas, içyüz"
"nefyetmek","inkâr etmek, reddetmek"
"vücut","varlık"
"inkâr","inanmama"
"mâfîhâ","içindekiler"
"hakikat","gerçek mahiyet, asıl, esas, içyüz"
"mazhar","sahip olma, erişme"
"malûm","bilinen, belli"
"mazhar","sahip olma, erişme"
"ziya","ışık"
"vücud","varlık"
"inkâr","inanmama"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inkâr","inanmama"
"nefs","kişinin kendisi; can, hayat"
"müşahede","görme"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"inkâr","inanmama"
"inkâr","inanmama"
"inkâr","inanmama"
"kâinat","evren, yaratılmış herşey"
"icraat-ı hakîmâne","hikmetli işler, icraatlar"
"ihsânât-ı rahîmâne","şefkatle yapılan ihsanlar, bağışlar"
"hâşâ, sümme hâşâ","asla ve asla, kesinlikle öyle değil"
"sefih","zevk ve eğlencesine düşkün"
"nihayetsiz","sonsuz"
"muhal","imkansız"
"inkılâb-ı hakaik","sabit gerçeklerin zıttına dönüşmesi"
"vücud","varlık"
"vücud","varlık"
"inkâr","inanmama"
"Sofestâîler","kâinatın yaratıcısını kabul etmemek için herşeyi, hatta kendilerini dahi inkâr edenler"
"tasavvur","düşünme, hayal etme"
"Elhasıl","özetle, sonuç olarak"
"şuûnat","işler, fiiller ve tasarruflar"
"vüs'atli","geniş"
"içtimaat-ı hayatiye","hayatın devamlılığını sağlayan parçaların bir araya gelmesi"
"sür'atli","hızlı"
"iftirakat-ı mevtiye","ölümle gelen ayrılıklar"
"azametli","büyük"
"ihtifâlât","törenler, merasimler"
"tecelliyat","tecelliler, yansımalar"
"âlem","dünya"
"dünya-yı fâni","geçici ve ölümlü dünya"
"malûm","bilinen"
"semerât-ı cüz'iye","az miktardaki verim"
"muvakkat","geçici"
"mabeyn","ara"
"münasebet","ilgi, bağlantı"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"muvakkat","geçici"
"gaye-i cüz'iye","küçük bir gaye"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"mevcudat","varlıklar"
"şuûnat","işler, fiiller ve tasarruflar"
"nisbetsizlik","ölçüsüzlük, oransızlık"
"kat'iyen","kesinlikle"
"mevcudat","varlıklar"
"âlem-i mânâ","maddî gözle görünmeyen mânevî âlem"
"müteveccih","yönelik"
"münasip","uygun"
"Esmâ-i Kudsiye","Allah'ın mukaddes, her türlü kusur ve noksandan yüce isimleri"
"âlem","dünya"
"âlem-i misal","bütün varlıkların ve olayların görüntülerinin yansıdığı madde ötesi âlem"
"inkişaf","açığa çıkma"
"istidad","kabiliyet"
"âhiret","öteki dünya, öldükten sonraki hayat"
"mahsul","ürün"
"eşya","şeyler, varlıklar"
"esmâ-i İlâhiye","Allah'ın isimleri"
"âlem-i âhiret","âhiret âlemi, öteki dünya"
"müteveccih","yönelik"
"mucize-i kudret","Allah'ın kudret mu'cizesi"
"Kelime-i hikmet","hikmet ifade eden kelime"
"harika-i san'at","san'at harikası"
"manzume-i rahmet","rahmet dizilişleri"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"mânâ","anlam"
"defn","gömme"
"fâni","gelip geçici, ölümlü"
"eşya","şeyler, varlıklar"
"bâki","devamlı, kalıcı"
"suret","görüntü"
"cihet","şekil, yön"
"ebedî","sonu olmayan, sonsuz"
"mânâ","anlam"
"sermedî","devamlı, sürekli"
"tesbihat","Allah'ı öven ve kusurdan yüce tutan sözler ve varlıkların hal diliyle bu anlamı ifade etmesi"
"cihet","şekil, yön"
"fâni","gelip geçici, ölümlü"
"bâki","devamlı, kalıcı"
"mevt","ölüm"
"mevcudat","varlıklar"
"maksat","gaye"
"Temsil","analoji, kıyaslama tarzında benzetme"
"ahval","haller, vaziyetler"
"temsil","analoji, kıyaslama tarzında benzetme"
"teşkil","meydana getirme"
"tertip","düzenleme"
"ahvâl","haller, vaziyetler"
"içtima","toplanma"
"suret","görüntü"
"terkip","birleştirme, sentez"
"müddet zarfında","süre içinde"
"hayat-ı şahsiye","kişisel hayat"
"hayat-ı içtimaiye","sosyal hayat"
"suret","görüntü"
"terkip","birleştirme, sentez"
"netice-i amel","yapılan işin neticesi"
"hıfz","saklanmak"
"mecma-ı ekber","çok büyük toplanma yeri"
"muhasebe","sorgu, hesaba çekilme"
"meşher-i azam","çok büyük sergi yeri"
"saadet-i uzma","çok büyük mutluluk"
"istidad","kabiliyet, yetenek"
"hadis-i şerif","Peygamberimize ait söz, emir veya davranışlar"
"âhiret","öteki dünya, öldükten sonraki hayat"
"mezra","tarla"
"hakikat","gerçek, doğru"
"âsâr","eserler"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"rahmet","şefkat, merhamet"
"vücud","varlık"
"âhiret","öteki dünya, öldükten sonraki hayat"
"cihet","şekil, yön"
"âlem","dünya"
"bakı","devamlı, kalıcı"
"Âhiret","öteki dünya, öldükten sonraki hayat"
"inkâr","reddetme, inanmama"
"mâfîhâ","içindekiler"
"inkâr","reddetme, inanmama"
"ecel","ölüm vakti"
"HAKİKAT","gerçek, doğru"
"Bâb","kapı"
"Hak","herşeyi hakkıyla yaratan, varlığı hak olan ve her hakkın sahibi olan Allah"
"cilve","yansıma, görüntü"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"Mâbûd-u Bilhak","hakkıyla ibadete layık olan Allah"
"kâinat","evren, yaratılmış herşey"
"rububiyet-i mutlaka","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"umum","bütün"
"âlem","dünya"
"rububiyet-i âmme","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"abd","kul"
"hitâbât-ı Sübhâniye","her türlü kusur ve noksanlıktan yüce olan Allah'ın Kendi Zâtına has hitapları"
"mütefekkir","tefekkür eden, düşünen"
"mazhariyet-i esmâ","Allah'ın isimlerinin yansıma ve görünme yeri"
"cami'","kapsamlı"
"âyine","ayna"
"İsm-i Âzam","Cenab-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olanı"
"tecellî","yansıma, görünme"
"İsm-i Âzam","Cenab-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olanı"
"tecellî","yansıma, görünme"
"mazhar","ayna olma, yansıma yeri"
"ahsen-i takvim","yaratılışın en güzel şekilde ve tam kıvamında olması"
"mucize-i kudret","Allah'ın kudret mu'cizesi"
"hazâin-i rahmet","rahmet hazineleri"
"müştemilât","içindekiler"
"ziyade","çok, fazla"
"mizan","ölçü"
"mâlik","sahip"
"müdakkik","dikkatli bir şekilde inceleyen"
"nihayetsiz","sonsuz"
"ziyade","çok, fazla"
"fena","gelip geçicilik, yok oluş"
"ziyade","çok, fazla"
"müteellim","elemli, acı duyan"
"bekà","kalıcılık ve devamlılık"
"ziyade","çok, fazla"
"müştak","iştiyaklı, arzulu, aşık"
"hayvanat","hayvanlar"
"nazdar","nazlı"
"hayat-ı dünyeviye","dünya hayatı"
"müteellim","elemli, acı duyan"
"bedbaht","talihsiz"
"istidat","beceriler, ruhsal özellikler, sevmek, konuşmak gibi"
"ulvî","yüce, yüksek"
"suret","şekil"
"mahiyet","özellik, esas, nitelik"
"müstaid","istidat ve kabiliyet sahibi"
"müştak","iştiyaklı, arzulu, aşık"
"dar-ı ebedî","sonsuzluk yurdu"
"hakikat-i insaniye","insanın gerçek mahiyeti"
"hakkaniyet","doğruluk"
"hakikat nazarında","gerçek açısından"
"kabil","mümkün, olabilir"
"Hâkim-i Bilhak","hak ve adalet ile hükmeden, yargılayan Allah"
"Rahîm-i Mutlak","sınırsız şefkat ve merhamet sahibi olan Allah"
"istidat","beceriler, ruhsal özellikler, sevmek, konuşmak gibi"
"tahammül","yüklenme"
"emanet-i kübrâ","en büyük emanet; başka varlıkların yüklenmekten çekindiği ve insanın yüklendiği İlâhî görevler, yükümlülükler"
"tahammül","yüklenme"
"cüz'î","küçük"
"Hâlık","herşeyi yaratan Allah"
"muhît","kapsamlı, herşeyi içine alan"
"küllî","büyük ve kapsamlı"
"şuûnât","işler, filler ve tasarruflar"
"nihayetsiz","sonsuz"
"tecelliyât","yansımalar, görünümler"
"nazenin","ince, nazik, duyarlı"
"nazdar","nazlı"
"âciz","güçsüz"
"nebatî","bitkisel"
"hayvanî","hayvansal"
"mahlûkat","yaratıklar"
"nevi","tür, çeşit"
"tanzimat","düzenleme"
"tarz-ı tesbihat","tesbihat şekli, Allah'ı anma usulü"
"kâinat","evren, yaratılmış herşey"
"icraat-ı İlâhiye","Allah'ın icraat ve faaliyeti"
"mikyas","ölçek"
"Rububiyet-i Sübhâniye","her türlü kusur ve noksandan yüce olan Allah'ın bütün varlık âlemini terbiye edip idaresi ve egemenliği altında tutması"
"kàlen","sözle"
"kâinat","evren, yaratılmış herşey"
"hilâfet","yeryüzünde Allah'ın izni dairesinde ve Onun adına icraatta bulunma şeklinde insana verilen görev"
"semere","meyve, netice"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
"mahlûkat","yaratıklar"
"bedbaht","talihsiz"
"biçare","çaresiz"
"musibetzede","musibete uğrayan"
"dertmend","dertli"
"zelil","aşağı, alçak"
"dereke","aşağı seviye"
"mübarek","bereketli, uğurlu"
"nuranî","nurlu"
"âlet-i tes'id","mutluluğa ulaştırma aleti"
"hediye-i hikmet","hikmet hediyesi"
"biçare","çaresiz"
"meş'um","kötü, uğursuz"
"zulmânî","karanlıklı"
"alet-i tâzip","azap verme aleti"
"hikmet-i mutlaka","sınırsız hikmet; herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"merhamet-i mutlaka","sınırsız merhamet"
"külliyen","bütünüyle"
"münafi","zıt, aykırı"
"Hâşâ ve kellâ","asla ve asla, kesinlikle öyle değil"
"Elhasıl","özetle, sonuç olarak"
"hikâye-i temsiliye","kıyaslamalı benzetme şeklinde, analojik hikâye"
"zabit","subay"
"cüzdan","kimlik"
"düstur-u hareket","hareket prensibi, tarzı"
"cihazat","donanım"
"zabit","subay"
"muvakkat","geçici"
"müstekar","yerleşmiş"
"cüzdan","kimlik"
"letâif","lâtifeler, duygular"
"havas","duyular"
"cihazat","donanım"
"müttefikan","birleşerek, fikir birliğiyle"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
"müteveccih","yönelmiş"
"teçhiz","cihazlanmak, donatılmak"
"ehl-i tahkik ve keşif","maneviyat âlemlerinde iman hakikatlerini gözleme yeteneğine sahip insanlar"
"müttefik","birleşmiş"
"Ezcümle","özetle"
"hizmetkâr","hizmetçi"
"tasvirci","resimleyici, suret verici"
"kuvve-i hayaliye","hayal duygusu"
"saltanat-ı dünya","dünya saltanatı"
"âhirde","sonunda"
"Tevehhüm","vehimlenme, kuruntuya kapılma"
"nefis","insanı maddî zevk ve isteklere sevk eden kuvvet"
"teessüf","üzülmek"
"fâni","geçici, ölümlü"
"cihazat-ı insaniye","insana ait cihazlar, duygular"
"istidat","beceriler, ruhsal özellikler, konuşma ve sevme gibi"
"ebed","sonsuzluk"
"emel","arzu, istek"
"kâinat","evren, yaratılmış herşey"
"ihata","kuşatma, içine alma"
"efkâr","fikirler, düşünceler"
"ebedî","sonsuz"
"saadet","mutluluk"
"envâ","çeşitler, türler"
"ebed","sonsuzluk"
"halk","yaratılmak"
"ebed","sonsuzluk"
"âhiret","öteki dünya"
"intizar","bekleme"
"HAKİKAT","gerçek, doğru"
"Bâb","kapı"
"Risaletve't-Tenzil","peygamberlik ve Cenâb-ı Allah'ın peygamberlere vahiy yoluyla kitaplar indirmesi"
"Bismillâhirrahmânirrahîm","Rahmân ve Rahîm olan Allah'ın adıyla"
"cilve","yansıma, görüntü"
"enbiya","peygamberler"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"istinad","dayanma"
"teyid","destekleme"
"evliya","veliler, Allah dostları"
"keşif","mânevî âlemlerde bazı olayları ve hakikatleri kalp gözüyle görme"
"keramet","Allah'ın bir ikramı olarak, Onun sevgili kullarında görülen olağanüstü hal ve hareketler"
"istinad","dayanma"
"tasdik","doğrulama, onaylama"
"asfiya","Hz. Peygamberin çizgisinde yaşayan ilim ve takvâ sahibi büyük zatlar"
"tahkikat","araştırmalar"
"istinad","dayanma"
"hakkaniyet","doğruluk"
"şehadet","şahitlik, tanıklık"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Sallâllahu Aleyhi ve Sellem","Allah'ın salât ve selâmı onun üzerine olsun"
"tahakkuk","gerçekleşme"
"mucizât","mu'cizeler"
"istinad","dayanma"
"vech","yön"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"âyât-ı kat'iye","kesin âyetler"
"istinad","dayanma"
"kat'iyet","kesinlik"
"âhiret","öteki dünya, öldükten sonraki hayat"
"küşad","açmak"
"vâhi","zayıf, önemsiz"
"vehim","kuruntu, zan"
"Hakikat","gerçek, doğru"
"haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"râsih","sağlam"
"hakikat","gerçek, doğru"
"küre-i arz","yerküre, dünya"
"hakikat","gerçek, doğru"
"hakikat","gerçek, doğru"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"esmâ","isimler"
"iktiza","gerektirme"
"tesbit","sağlam şekilde yerleştirmek"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"mucizat","mu'cizeler"
"berâhin","deliller"
"tasdik","doğrulama, onaylama"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"hakaik","hakikatler, gerçekler"
"âyât","âyetler, deliller"
"kâinat","evren, yaratılmış herşey"
"âyât-ı tekvîniye","yaratılışa ait deliller, bütün varlıklar"
"şuûnât-ı hakîmâne","hikmetli bir şekilde yapılan işler"
"şehadet","şahitlik, tanıklık"
"haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"Vâcibü'l-Vücud","varlığı zorunlu olan, var olmak için hiçbir sebebe ihtiyacı olmayan Allah"
"mevcudat","varlıklar"
"kâfir","inanmayan, inkâr eden"
"müstesna","dışında"
"ittifak","birleşmek"
"vesvese","şüphe, kuruntu"
"hakikat-i râsiha-i âliye","yüce ve sağlam gerçek"
"Hâşâ ve kellâ","asla ve asla, kesinlikle öyle değil"
"delâil-i haşriye","haşre ait deliller"
"Hakikat","gerçek, doğru"
"münhasır","sınırlı"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"vücuh","vecihler, yönler"
"vecih","yön"
"kavî","kuvvetli"
"emare","belirti, işaret"
"Hâlık","herşeyi yaratan Allah"
"dar-ı fâni","gelip geçici yer, dünya"
"dar-ı bâki","devamlı ve kalıcı yer, âhiret"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"iktiza","gerektirme"
"esmâ-i İlâhiye","Allah'ın isimleri"
"Hakîm","herşeyi hikmetle, belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Allah"
"Kerîm","sonsuz cömertlik ve ikram sahibi Allah"
"Rahîm","sonsuz merhamet ve şefkat sahibi olan Allah"
"Âdil","adaletle iş gören, sonsuz adalet sahibi Allah"
"Hafîz","herşeyi koruyup saklayan ve yarattıklarını esirgeyip gözeten Allah"
"münhasır","sınırlı"
"kâinat","evren, yaratılmış herşey"
"tedbir","idare"
"tecellî","yansıma, görünüm"
"esmâ-i İlâhiye","Allah'ın isimleri"
"âhiret","öteki dünya, öldükten sonraki hayat"
"iktiza","gerektirme"
"istilzam","gerektirme"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"delâlet","delil olma, işaret etme"
"kâinat","evren, yaratılmış herşey"
"âyât-ı tekvîniye","yaratılışa ait deliller, bütün varlıklar"
"münhasır","sınırlı"
"ekser","pekçok"
"mevcudat","varlıklar"
"vecih","yön"
"keyfiyet","durum, nitelik"
"Sâni","herşeyi sanatlı bir şekilde yaratan Allah"
"şehadet","şahitlik, tanıklık"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"ahsen-i takvim","yaratılışın en güzel şekilde ve tam kıvamında olması"
"hüsn-ü masnuiyet","sanatındaki güzellik"
"Sâni","herşeyi sanatlı bir şekilde yaratan Allah"
"ahsen-i takvim","yaratılışın en güzel şekilde ve tam kıvamında olması"
"kabiliyet-i camia","çok kapsamlı kabiliyet"
"zevâl","geçip gitme, yok olma"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"nazar","bakış"
"Sâni","herşeyi sanatlı bir şekilde yaratan Allah"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"ekser","pekçok"
"eşya","varlıklar"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"tanzim","düzenleme"
"inâyet","ikram, lütuf; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"tezyin","süsleme"
"tevzin","ölçülü yapma, dengeleme"
"rahmet","şefkat, merhamet"
"taltif","lütuf ve iyilikte bulunma"
"mahiyet","esas, nitelik, öz"
"Sâni-i Hakîm","herşeyi hikmetle ve sanatlı bir şekilde yaratan Allah"
"Kerîm","sonsuz cömertlik ve ikram sahibi Allah"
"Âdil","adaletle iş gören, sonsuz adalet sahibi Allah"
"Rahîm","sonsuz merhamet ve şefkat sahibi olan Allah"
"dest-i kudret","kudret eli"
"hadsiz","sonsuz"
"mazhar","yansıma ve görünme yeri"
"fâni","geçici, ölümlü"
"mevcudat","varlıklar"
"âhiret","öteki dünya, öldükten sonraki hayat"
"lisan-ı hâl","hal ve beden dili"
"Âmentü billâhi ve bi'l-yevmi'l-âhir","Allah'a ve âhiret gününe iman ettim"
"Hâtime","sonuç, son bölüm"
"HAKİKAT","gerçek, doğru"
"teyid","destekleme"
"tekmil","tamamlama"
"ittihad","birlik, birleşme"
"vehm","kuruntu"
"muhkem","sağlam"
"hısn-ı hasin","çok sağlam kale"
"haşr-i imanî","haşre iman"
"halk","yaratma"
"kudret-i İlâhiye","Allah'ın güç ve kuvveti"
"nisbeten","kıyasla"
"halk","yaratma"
"âsân","kolay"
"nam","ad"
"risale","küçük çaplı kitap"
"haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"hakikat","gerçek, doğru"
"tafsilen","ayrıntılı olarak"
"temsilât","temsiller"
"hülâsa","özet"
"temsil","kıyaslama tarzında benzetme, analoji"
"nuraniyet","nurlu oluş, parlaklık"
"cilve","yansıma"
"ihtiyar","dileme, istek, irade"
"zerre","atom, en küçük madde parçası"
"suhulet","kolaylık"
"cilve","yansıma"
"suhulet","kolaylık"
"hadsiz","sayısız"
"şeffâfât","saydam şeyler"
"şeffâfiyet","saydamlık"
"zerre-i şeffâfe","saydam zerre, atom"
"aks","yansıma"
"müsavi","eşit, denk"
"intizam","düzenlilik"
"suret","şekil, biçim"
"diritnot","büyük harp gemisi"
"imtisal","uyma, tabi olma"
"nefer","asker, er"
"arş","haydi!"
"tahrik","harekete geçirme"
"tahrik","harekete geçirme"
"muvazene","denge"
"cevv-i feza","uzay boşluğu"
"hakikî","gerçek, doğru"
"farz","varsaymak"
"istiab","içine alma, kaplama"
"semâvât","gökler"
"şems","güneş"
"Arş","göğün en yüksek katı"
"ferş","yer"
"âdi","basit, sıradan"
"nâkıs","eksik"
"fâni","geçici, ölümlü"
"mümkinat","olması imkan dahilinde olan, varlığı Allah'ın var etmesine bağlı olan şeyler"
"nuraniyet","nurlu oluş, parlaklık"
"şeffâfiyet","şeffaflık, saydam olma"
"intizam","düzenlilik"
"imtisal","uyma, tabi olma"
"muvazene","denge"
"müsavi","eşit, denk"
"Hadsiz","sayısız"
"müsavi","eşit, denk"
"Kadîr-i Mutlak","herşeye gücü yeten, sınırsız güç ve kudret sahibi Allah"
"zâtî","kendisinden olan"
"nihayetsiz","sonsuz"
"kemâl","mükemmellik"
"kudret","güç, iktidar"
"nuranî","nurlu, parlak"
"tecelliyât","tecelliler, yansımalar"
"melekûtiyet-i eşya","eşyanın iç yüzü, esas mahiyeti"
"şeffâfiyet","şeffaflık, saydam olma"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"kader","Allah'ın meydana gelecek şeyleri olmadan önce takdir edip planlaması"
"intizâmât","düzenlilikler"
"evâmir-i tekvîniye","yaratılışa ait emirler"
"kemâl-i imtisal","tam ve mükemmel bir şekilde emre uyma"
"mümkinat","olması imkan dahilinde olan, varlığı Allah'ın var etmesine bağlı olan şeyler"
"vücut","varlık"
"adem","yokluk"
"müsavat","eşitlik"
"imkân","mümkün olma, olabilirlik"
"muvazene","denge"
"müsavi","eşit, denk"
"sayha","ses, sesleniş"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"zaaf","zayıflık"
"meratib","mertebeler, dereceler"
"müdahale","karışma"
"hararet","sıcaklık"
"derecat","dereceler"
"müdahale","karışma"
"meratib","mertebeler, dereceler"
"müdahale","karışma"
"Ziya","ışık"
"tabakat","tabakalar"
"müdahale","karışma"
"zâtî","kendisinden olan"
"ârızî","kendisinden olmayan, ilinti"
"müdahale","karışma"
"cem-i zıddeyn","iki zıddın bir arada olması"
"muhal","imkansız"
"zâtî","kendisinden olan"
"Kadîr-i Mutlak","herşeye gücü yeten, sınırsız güç ve kudret sahibi Allah"
"kudret","güç, iktidar"
"zâtî","kendisinden olan"
"mümkinat","olması imkan dahilinde olan, varlığı Allah'ın var etmesine bağlı olan şeyler"
"ârızî","kendisinden olmayan, ilinti"
"kemâl-i mutlak","her yönüyle ve kesin mükemmellik"
"acz","güçsüzlük"
"muhal","imkansız"
"tedahül","iç içe olmak"
"halk","yaratmak"
"Zât-ı Zülcelâl","sonsuz haşmet ve yücelik sahibi olan Zât, Allah"
"ehven","kolay"
"esbab","sebepler"
"isnad","dayandırma"
"ihyâ","diriltme, hayat verme"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"nefs","ferd, kişi"
"ihyâ","diriltme, hayat verme"
"Mesele-i haşr","haşir konusu"
"temsil","kıyaslama tarzında benzetme, analoji"
"suret","şekil"
"hakikat","gerçek mahiyet, asıl, esas"
"beyanat","açıklamalar"
"Kur'ân-ı Hakîmin","içinde sayısız hikmet ve faydalar bulunan Kur'ân"
"feyz","ilham, bereket"
"Nefs","insanı maddî zevk ve isteklere sevk eden kuvvet"
"ihzar","hazırlama"
"âyât-ı beyyinât-ı Kur'âniye","Kur'ân'ın ap açık âyetleri"
"Âmennâ ve saddaknâ","İnandık ve tasdik ettik"
"risale","küçük çaplı kitap"
"mütalâa","okuma ve dikkatlice inceleme"
"İbn-i Sina","İslâm Meşşâî felsefe ekolünün Fârâbî'den sonra gelen en büyük filozofu ve ortaçağ tıbbının en önemli ismi; bk. İbni Sina"
"dâhi-yi hikmet","ilim ve hikmet dehâsı, son derece zeki felsefe âlimi"
"ulemâ-i İslâm","İslâm âlimleri"
"Haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"mesele-i nakliye","vahiyle bildirilen mesele"
"nakil","vahiy, Allah tarafından bildirilen"
"müttefikan","ittifakla, birleşerek"
"mânen","mânevî olarak"
"cadde-i umumiye-i akliye","akla en uygun herkesin yürüdüğü cadde"
"Kur'ân-ı Hakîm","içinde sayısız hikmet ve faydalar bulunan Kur'ân"
"feyz","ilham, bereket"
"Hâlık-ı Rahîm","sonsuz merhamet ve şefkat sahibi ve herşeyi yoktan yaratan Allah"
"rahmet","merhamet, şefkat"
"ihsan","lütuf, bağış, ikram"
"kâfi","yeterli"
"mütalâa","okuma ve dikkatlice inceleme"
"izdiyâd","arttırmak"
"sır","gizli gerçek, gizem"
"Haşr-i âzam","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"İsm-i Âzam","Cenab-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olanı"
"tecellî","yansıma"
"İsm-i Âzam","Cenab-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olanı"
"âzamî","en büyük"
"tecellî","yansıma"
"zahir","görünen, açık"
"ef'âl-i azîme","çok büyük işler"
"haşr-i âzam","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"kat'î","kesin"
"iz'ân","şüphesiz anlama ve inanma"
